Lake,Full PIT,PIT,Length,Sex,Section,
Halsteds,9.00E+14,567117,675,M,3,
,,,,,,
Halsteds,9.00E+14,567134,730,F,3,
,,,,,,
Halsteds,9.00E+14,567231,355,M,5,
,,,,,,
Halsteds,9.00E+14,567118,378,F,5,
,,,,,,
Halsteds,9.00E+14,567127,365,M,5,
,,,,,,
Halsteds,9.00E+14,567198,385,F,5,
,,,,,,
Halsteds,9.00E+14,567162,341,M,5,
,,,,,,
Halsteds,9.00E+14,567035,595,M,5,
,,,,,,
Halsteds,9.00E+14,567242,860,F,6,
,,,,,,
Halsteds,9.00E+14,567132,720,F,6,
,,,,,,
Halsteds,9.00E+14,567047,800,F,6,
